name,vartype,uom,specified,group,range,description
VF[8],Mole_Composition,mole fraction,False,Profiles,"[-0.99999, 1.99999]","Column stage unbounded vapor fraction profile\n     VF<0: subcooled\n     VF=0: bubble point, total condenser\n     VF=1: dewpoint\n     VF>1: superheated"
VF[9],Mole_Composition,mole fraction,False,Profiles,"[-0.99999, 1.99999]","Column stage unbounded vapor fraction profile\n     VF<0: subcooled\n     VF=0: bubble point, total condenser\n     VF=1: dewpoint\n     VF>1: superheated"
VF[10],Mole_Composition,mole fraction,False,Profiles,"[-0.99999, 1.99999]","Column stage unbounded vapor fraction profile\n     VF<0: subcooled\n     VF=0: bubble point, total condenser\n     VF=1: dewpoint\n     VF>1: superheated"
VF[11],Mole_Composition,mole fraction,False,Profiles,"[-0.99999, 1.99999]","Column stage unbounded vapor fraction profile\n     VF<0: subcooled\n     VF=0: bubble point, total condenser\n     VF=1: dewpoint\n     VF>1: superheated"
VF[12],Mole_Composition,mole fraction,False,Profiles,"[-0.99999, 1.99999]","Column stage unbounded vapor fraction profile\n     VF<0: subcooled\n     VF=0: bubble point, total condenser\n     VF=1: dewpoint\n     VF>1: superheated"
VF[13],Mole_Composition,mole fraction,False,Profiles,"[-0.99999, 1.99999]","Column stage unbounded vapor fraction profile\n     VF<0: subcooled\n     VF=0: bubble point, total condenser\n     VF=1: dewpoint\n     VF>1: superheated"
Duty[1],Heat_Duty,kJ/s,True,Profiles,"[-1000000000.0, 1000000000.0]",Column external duty profile
Duty[2],Heat_Duty,kJ/s,True,Profiles,"[-1000000000.0, 1000000000.0]",Column external duty profile
Duty[3],Heat_Duty,kJ/s,True,Profiles,"[-1000000000.0, 1000000000.0]",Column external duty profile
Duty[4],Heat_Duty,kJ/s,True,Profiles,"[-1000000000.0, 1000000000.0]",Column external duty profile
Duty[5],Heat_Duty,kJ/s,True,Profiles,"[-1000000000.0, 1000000000.0]",Column external duty profile
Duty[6],Heat_Duty,kJ/s,True,Profiles,"[-1000000000.0, 1000000000.0]",Column external duty profile
Duty[7],Heat_Duty,kJ/s,True,Profiles,"[-1000000000.0, 1000000000.0]",Column external duty profile
Duty[8],Heat_Duty,kJ/s,True,Profiles,"[-1000000000.0, 1000000000.0]",Column external duty profile
Duty[9],Heat_Duty,kJ/s,True,Profiles,"[-1000000000.0, 1000000000.0]",Column external duty profile
Duty[10],Heat_Duty,kJ/s,True,Profiles,"[-1000000000.0, 1000000000.0]",Column external duty profile
Duty[11],Heat_Duty,kJ/s,True,Profiles,"[-1000000000.0, 1000000000.0]",Column external duty profile
